"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Feed","2024-08-03 22:50","2024-08-03 23:34","00:43","00:09R","Breast","00:34L",
"Sleep","2024-08-03 21:55","2024-08-03 22:40","00:45",,,,
"Feed","2024-08-03 21:24","2024-08-03 21:39","00:15","00:15R","Breast","Null l",
"Sleep","2024-08-03 21:04","2024-08-03 21:19","00:15",,,,
"Feed","2024-08-03 20:34","2024-08-03 21:03","00:28","Null r","Breast","00:28L",
"Diaper","2024-08-03 20:26",,,,,"Poo",
"Sleep","2024-08-03 19:30","2024-08-03 20:15","00:45",,,,
"Feed","2024-08-03 18:59","2024-08-03 19:29","00:30","00:30R","Breast","Null l",
"Sleep","2024-08-03 18:20","2024-08-03 18:50","00:30",,,,
"Feed","2024-08-03 18:10","2024-08-03 18:20","00:10","Null r","Breast","00:10L",
"Feed","2024-08-03 16:56","2024-08-03 17:32","00:35","00:29R","Breast","00:06L",
"Feed","2024-08-03 16:17","2024-08-03 16:46","00:29","Null r","Breast","00:29L",
"Diaper","2024-08-03 16:11",,,,,"Pee",
"Sleep","2024-08-03 14:39","2024-08-03 16:09","01:30",,,,
"Feed","2024-08-03 13:51","2024-08-03 14:37","00:45","Null r","Breast","00:45L",
"Diaper","2024-08-03 13:47",,,,,"Pee",
"Sleep","2024-08-03 13:12","2024-08-03 13:45","00:32",,,,
"Sleep","2024-08-03 11:45","2024-08-03 13:09","01:24",,,,
"Feed","2024-08-03 11:05","2024-08-03 11:44","00:39","00:21R","Breast","00:17L",
"Diaper","2024-08-03 10:58",,,,,"Both",
"Feed","2024-08-03 10:10","2024-08-03 10:39","00:29","00:29R","Breast","Null l",
"Diaper","2024-08-03 10:03",,,,,"Both",
"Feed","2024-08-03 08:55","2024-08-03 09:27","00:31","Null r","Breast","00:31L",
"Sleep","2024-08-03 08:25","2024-08-03 08:55","00:30",,,,
"Sleep","2024-08-03 06:48","2024-08-03 08:15","01:27",,,,
"Feed","2024-08-03 06:24","2024-08-03 06:44","00:19","00:19R","Breast","Null l",
"Sleep","2024-08-03 05:25","2024-08-03 06:24","00:59",,,,
"Feed","2024-08-03 04:29","2024-08-03 04:59","00:30","00:30R","Breast","Null l",
"Diaper","2024-08-03 04:22",,,,,"Both",
"Sleep","2024-08-03 01:52","2024-08-03 04:15","02:23",,,,
"Feed","2024-08-03 01:39","2024-08-03 01:46","00:07","Null r","Breast","00:07L",
"Sleep","2024-08-03 00:24","2024-08-03 01:33","01:09",,,,
"Feed","2024-08-02 23:34","2024-08-03 00:12","00:37","00:11R","Breast","00:26L",
"Diaper","2024-08-02 23:30",,,,,"Both",
"Sleep","2024-08-02 22:55","2024-08-02 23:19","00:24",,,,
"Feed","2024-08-02 22:00","2024-08-02 22:40","00:40","00:40R","Breast","Null l",
"Feed","2024-08-02 20:54","2024-08-02 21:31","00:36","00:22R","Breast","00:14L",
"Sleep","2024-08-02 20:31","2024-08-02 20:47","00:16",,,,
"Feed","2024-08-02 20:15","2024-08-02 20:24","00:09","Null r","Breast","00:09L",
"Feed","2024-08-02 19:35","2024-08-02 20:11","00:35","00:35R","Breast","Null l",
"Feed","2024-08-02 19:01","2024-08-02 19:14","00:13","Null r","Breast","00:13L",
"Diaper","2024-08-02 18:57",,,,,"Pee",
"Sleep","2024-08-02 18:05","2024-08-02 18:26","00:21",,,,
"Feed","2024-08-02 17:39","2024-08-02 18:05","00:26","00:26R","Breast","Null l",
"Feed","2024-08-02 17:30","2024-08-02 17:36","00:06","Null r","Breast","00:06L",
"Sleep","2024-08-02 17:06","2024-08-02 17:27","00:20",,,,
"Diaper","2024-08-02 16:43",,,,,"Both",
"Feed","2024-08-02 16:43","2024-08-02 17:03","00:20","00:20R","Breast","Null l",
"Sleep","2024-08-02 15:20","2024-08-02 16:33","01:13",,,,
"Feed","2024-08-02 14:15","2024-08-02 15:15","01:00","Null r","Breast","01:00L",
"Diaper","2024-08-02 14:07",,,,,"Pee",
"Sleep","2024-08-02 12:52","2024-08-02 13:40","00:48",,,,
"Feed","2024-08-02 12:40","2024-08-02 12:49","00:09","00:09R","Breast","Null l",
"Feed","2024-08-02 12:08","2024-08-02 12:33","00:25","00:25R","Breast","Null l",
"Diaper","2024-08-02 11:55",,,,,"Pee",
"Sleep","2024-08-02 11:10","2024-08-02 11:50","00:40",,,,
"Feed","2024-08-02 11:00","2024-08-02 11:03","00:03","Null r","Breast","00:03L",
"Feed","2024-08-02 09:58","2024-08-02 10:56","00:57","00:29R","Breast","00:28L",
"Sleep","2024-08-02 07:37","2024-08-02 09:56","02:18",,,,
"Feed","2024-08-02 06:51","2024-08-02 07:21","00:30","Null r","Breast","00:30L",
"Sleep","2024-08-02 05:50","2024-08-02 06:48","00:57",,,,
"Feed","2024-08-02 05:39","2024-08-02 05:50","00:11","Null r","Breast","00:11L",
"Diaper","2024-08-02 05:29",,,,,"Poo",
"Feed","2024-08-02 05:10","2024-08-02 05:29","00:18","00:18R","Breast","Null l",
"Diaper","2024-08-02 05:08",,,,,"Poo",
"Sleep","2024-08-02 04:44","2024-08-02 04:58","00:13",,,,
"Feed","2024-08-02 03:57","2024-08-02 04:39","00:42","00:15R","Breast","00:27L",
"Sleep","2024-08-02 03:24","2024-08-02 03:38","00:13",,,,
"Feed","2024-08-02 02:58","2024-08-02 03:15","00:17","Null r","Breast","00:17L",
"Sleep","2024-08-02 00:05","2024-08-02 02:55","02:50",,,,
"Feed","2024-08-01 23:33","2024-08-02 00:05","00:31","00:31R","Breast","Null l",
"Feed","2024-08-01 21:48","2024-08-01 22:53","01:04","00:45R","Breast","00:19L",
"Diaper","2024-08-01 21:15",,,,,"Pee",
"Feed","2024-08-01 20:15","2024-08-01 21:06","00:50","00:17R","Breast","00:32L",
"Sleep","2024-08-01 20:03","2024-08-01 20:06","00:02",,,,
"Feed","2024-08-01 19:45","2024-08-01 19:54","00:09","Null r","Breast","00:09L",
"Feed","2024-08-01 18:54","2024-08-01 19:44","00:50","00:33R","Breast","00:16L",
"Diaper","2024-08-01 18:52",,,,,"Pee",
"Sleep","2024-08-01 16:22","2024-08-01 18:45","02:22",,,,
"Feed","2024-08-01 15:33","2024-08-01 16:21","00:48","00:20R","Breast","00:28L",
"Diaper","2024-08-01 15:17",,,,,"Poo",
"Sleep","2024-08-01 14:40","2024-08-01 15:12","00:32",,,,
"Feed","2024-08-01 13:45","2024-08-01 14:31","00:45","00:40R","Breast","00:05L",
"Diaper","2024-08-01 13:40",,,,,"Both",
"Sleep","2024-08-01 11:22","2024-08-01 13:35","02:12",,,,
"Feed","2024-08-01 10:49","2024-08-01 11:16","00:27","00:27R","Breast","Null l",
"Feed","2024-08-01 10:12","2024-08-01 10:45","00:32","Null r","Breast","00:32L",
"Diaper","2024-08-01 10:06",,,,,"Pee",
"Sleep","2024-08-01 08:24","2024-08-01 09:51","01:26",,,,
"Feed","2024-08-01 07:21","2024-08-01 08:06","00:44","00:24R","Breast","00:19L",
"Diaper","2024-08-01 07:17",,,,,"Both",
"Sleep","2024-08-01 04:58","2024-08-01 07:09","02:11",,,,
"Feed","2024-08-01 04:22","2024-08-01 04:48","00:26","00:12R","Breast","00:13L",
"Sleep","2024-07-31 23:41","2024-08-01 04:21","04:39",,,,
"Feed","2024-07-31 22:52","2024-07-31 23:18","00:25","Null r","Breast","00:25L",
"Feed","2024-07-31 22:12","2024-07-31 22:30","00:18","00:18R","Breast","Null l",
"Feed","2024-07-31 21:07","2024-07-31 22:06","00:58","00:34R","Breast","00:24L",
"Diaper","2024-07-31 21:04",,,,,"Pee",
"Sleep","2024-07-31 19:55","2024-07-31 20:53","00:58",,,,
"Feed","2024-07-31 19:07","2024-07-31 19:48","00:40","Null r","Breast","00:40L",
"Diaper","2024-07-31 19:02",,,,,"Pee",
"Sleep","2024-07-31 17:33","2024-07-31 18:53","01:20",,,,
"Feed","2024-07-31 16:31","2024-07-31 17:22","00:51","00:51R","Breast","Null l",
"Sleep","2024-07-31 15:27","2024-07-31 16:28","01:01",,,,
"Feed","2024-07-31 14:48","2024-07-31 15:11","00:23","Null r","Breast","00:23L",
"Sleep","2024-07-31 14:08","2024-07-31 14:42","00:33",,,,
"Feed","2024-07-31 13:46","2024-07-31 14:08","00:21","00:21R","Breast","Null l",
"Diaper","2024-07-31 13:40",,,,,"Pee",
"Sleep","2024-07-31 13:27","2024-07-31 13:36","00:09",,,,
"Feed","2024-07-31 12:55","2024-07-31 13:25","00:30","Null r","Breast","00:30L",
"Diaper","2024-07-31 12:40",,,,,"Both",
"Feed","2024-07-31 11:33","2024-07-31 12:07","00:34","00:34R","Breast","Null l",
"Diaper","2024-07-31 11:25",,,,,"Both",
"Sleep","2024-07-31 10:25","2024-07-31 11:22","00:57",,,,
"Feed","2024-07-31 09:45","2024-07-31 10:23","00:37","Null r","Breast","00:37L",
"Diaper","2024-07-31 09:42",,,,,"Both",
"Sleep","2024-07-31 06:45","2024-07-31 09:29","02:44",,,,
"Feed","2024-07-31 06:12","2024-07-31 06:44","00:32","00:32R","Breast","Null l",
"Sleep","2024-07-31 05:05","2024-07-31 06:10","01:04",,,,
"Potty","2024-07-31 04:38",,,,,"Both",
"Feed","2024-07-31 04:38","2024-07-31 05:00","00:22","Null r","Breast","00:22L",
"Sleep","2024-07-31 03:37","2024-07-31 04:15","00:37",,,,
"Feed","2024-07-31 03:21","2024-07-31 03:37","00:15","00:15R","Breast","Null l",
"Sleep","2024-07-31 01:21","2024-07-31 03:21","02:00",,,,
"Feed","2024-07-31 01:00","2024-07-31 01:19","00:19","Null r","Breast","00:19L",
"Sleep","2024-07-30 23:20","2024-07-31 00:59","01:39",,,,
"Feed","2024-07-30 22:22","2024-07-30 23:18","00:55","00:55R","Breast","Null l",
"Sleep","2024-07-30 21:52","2024-07-30 22:09","00:17",,,,
"Feed","2024-07-30 21:22","2024-07-30 21:52","00:29","Null r","Breast","00:29L",
"Diaper","2024-07-30 21:08",,,,,"Pee",
"Sleep","2024-07-30 20:37","2024-07-30 21:07","00:30",,,,
"Feed","2024-07-30 20:10","2024-07-30 20:36","00:26","00:26R","Breast","Null l",
"Potty","2024-07-30 19:52",,,,,"Both",
"Sleep","2024-07-30 18:03","2024-07-30 19:42","01:39",,,,
"Feed","2024-07-30 16:54","2024-07-30 17:54","01:00","00:19R","Breast","00:40L",
"Sleep","2024-07-30 15:42","2024-07-30 16:32","00:50",,,,
"Feed","2024-07-30 15:02","2024-07-30 15:40","00:38","00:28R","Breast","00:09L",
"Diaper","2024-07-30 14:49",,,,,"Poo",
"Sleep","2024-07-30 13:47","2024-07-30 14:17","00:29",,,,
"Feed","2024-07-30 13:05","2024-07-30 13:46","00:41","Null r","Breast","00:41L",
"Sleep","2024-07-30 11:54","2024-07-30 12:55","01:00",,,,
"Feed","2024-07-30 11:51","2024-07-30 11:54","00:02","Null r","Breast","00:02L",
"Sleep","2024-07-30 11:15","2024-07-30 11:34","00:18",,,,
"Feed","2024-07-30 10:41","2024-07-30 11:09","00:28","00:28R","Breast","Null l",
"Potty","2024-07-30 10:26",,,,,"Pee:large",
"Potty","2024-07-30 10:21",,,,,"Poo",
"Sleep","2024-07-30 07:14","2024-07-30 10:18","03:03",,,,
"Feed","2024-07-30 07:05","2024-07-30 07:11","00:06","00:06R","Breast","Null l",
"Sleep","2024-07-30 04:58","2024-07-30 07:00","02:01",,,,
"Feed","2024-07-30 04:10","2024-07-30 04:45","00:35","Null r","Breast","00:35L",
"Diaper","2024-07-30 04:06",,,,,"Pee",
"Sleep","2024-07-30 00:43","2024-07-30 03:45","03:02",,,,
"Feed","2024-07-30 00:27","2024-07-30 00:42","00:15","Null r","Breast","00:15L",
"Feed","2024-07-29 23:48","2024-07-29 23:58","00:10","00:10R","Breast","Null l",
"Sleep","2024-07-29 23:32","2024-07-30 00:27","00:55",,,,
"Feed","2024-07-29 23:14","2024-07-29 23:30","00:16","00:16R","Breast","Null l",
"Sleep","2024-07-29 22:48","2024-07-29 23:13","00:25",,,,
"Feed","2024-07-29 21:42","2024-07-29 22:46","01:04","00:22R","Breast","00:42L",
"Sleep","2024-07-29 21:01","2024-07-29 21:41","00:40",,,,
"Diaper","2024-07-29 20:57",,,,,"Both",
"Feed","2024-07-29 20:46","2024-07-29 20:55","00:08","Null r","Breast","00:08L",
"Sleep","2024-07-29 20:27","2024-07-29 20:43","00:16",,,,
"Feed","2024-07-29 19:42","2024-07-29 20:26","00:44","00:44R","Breast","Null l",
"Diaper","2024-07-29 19:36",,,,,"Pee",
"Sleep","2024-07-29 18:45","2024-07-29 19:31","00:45",,,,
"Feed","2024-07-29 18:33","2024-07-29 18:45","00:12","Null r","Breast","00:12L",
"Sleep","2024-07-29 17:31","2024-07-29 18:28","00:56",,,,
"Feed","2024-07-29 17:15","2024-07-29 17:30","00:14","00:14R","Breast","Null l",
"Sleep","2024-07-29 16:54","2024-07-29 17:01","00:07",,,,
"Feed","2024-07-29 16:22","2024-07-29 16:53","00:30","Null r","Breast","00:30L",
"Diaper","2024-07-29 16:18",,,,,"Pee",
"Sleep","2024-07-29 15:09","2024-07-29 16:08","00:59",,,,
"Feed","2024-07-29 14:45","2024-07-29 15:07","00:22","00:22R","Breast","Null l",
"Diaper","2024-07-29 14:33",,,,,"Both",
"Sleep","2024-07-29 13:45","2024-07-29 14:22","00:37",,,,
"Feed","2024-07-29 12:55","2024-07-29 13:43","00:48","00:17R","Breast","00:30L",
"Diaper","2024-07-29 12:50",,,,,"Pee",
"Sleep","2024-07-29 09:30","2024-07-29 12:44","03:14",,,,
"Feed","2024-07-29 07:46","2024-07-29 08:08","00:22","00:22R","Breast","Null l",
"Diaper","2024-07-29 07:40",,,,,"Pee",
"Sleep","2024-07-29 06:10","2024-07-29 07:33","01:23",,,,
"Feed","2024-07-29 05:25","2024-07-29 06:16","00:51","Null r","Breast","00:51L",
"Diaper","2024-07-29 05:21",,,,,"Pee",
"Feed","2024-07-29 03:56","2024-07-29 04:41","00:45","00:30R","Breast","00:14L",
"Sleep","2024-07-29 03:00","2024-07-29 03:50","00:50",,,,
"Feed","2024-07-29 02:27","2024-07-29 02:52","00:25","00:20R","Breast","00:04L",
"Sleep","2024-07-29 00:38","2024-07-29 02:26","01:48",,,,
"Feed","2024-07-28 23:47","2024-07-29 00:35","00:48","Null r","Breast","00:48L",
"Sleep","2024-07-28 23:25","2024-07-28 23:43","00:18",,,,
"Feed","2024-07-28 22:58","2024-07-28 23:21","00:23","00:23R","Breast","Null l",
"Feed","2024-07-28 22:06","2024-07-28 22:24","00:18","Null r","Breast","00:18L",
"Sleep","2024-07-28 21:53","2024-07-28 22:03","00:10",,,,
"Feed","2024-07-28 21:42","2024-07-28 21:52","00:10","00:10R","Breast","Null l",
"Diaper","2024-07-28 21:30",,"brown",,,"Both, poo:large",
"Feed","2024-07-28 19:57","2024-07-28 20:55","00:58","00:35R","Breast","00:22L",
"Feed","2024-07-28 19:10","2024-07-28 19:37","00:27","Null r","Breast","00:27L",
"Diaper","2024-07-28 19:08",,,,,"Pee",
"Sleep","2024-07-28 17:46","2024-07-28 19:03","01:17",,,,
"Feed","2024-07-28 17:31","2024-07-28 17:44","00:13","00:13R","Breast","Null l",
"Diaper","2024-07-28 17:17",,,,,"Both",
"Diaper","2024-07-28 15:48",,,,,"Pee",
"Feed","2024-07-28 15:42","2024-07-28 16:37","00:55","00:11R","Breast","00:43L",
"Sleep","2024-07-28 14:15","2024-07-28 15:48","01:33",,,,
"Sleep","2024-07-28 13:52","2024-07-28 13:58","00:06",,,,
"Feed","2024-07-28 13:37","2024-07-28 13:50","00:13","00:13R","Breast","Null l",
"Sleep","2024-07-28 13:12","2024-07-28 13:25","00:13",,,,
"Feed","2024-07-28 12:37","2024-07-28 13:11","00:34","Null r","Breast","00:34L",
"Diaper","2024-07-28 12:32",,,,,"Pee",
"Sleep","2024-07-28 12:00","2024-07-28 12:30","00:30",,,,
"Feed","2024-07-28 11:21","2024-07-28 11:39","00:18","00:18R","Breast","Null l",
"Sleep","2024-07-28 11:02","2024-07-28 11:14","00:12",,,,
"Feed","2024-07-28 10:28","2024-07-28 11:01","00:32","Null r","Breast","00:32L",
"Diaper","2024-07-28 10:18",,,,,"Both",
"Sleep","2024-07-28 08:00","2024-07-28 10:10","02:09",,,,
"Feed","2024-07-28 07:48","2024-07-28 07:52","00:04","Null r","Breast","00:04L",
"Feed","2024-07-28 07:02","2024-07-28 07:44","00:42","00:42R","Breast","Null l",
"Diaper","2024-07-28 07:01",,,,,"Both",
"Sleep","2024-07-28 05:41","2024-07-28 06:40","00:59",,,,
"Feed","2024-07-28 05:09","2024-07-28 05:40","00:31","Null r","Breast","00:31L",
"Sleep","2024-07-28 02:58","2024-07-28 05:09","02:11",,,,
"Feed","2024-07-28 02:12","2024-07-28 02:57","00:45","Null r","Breast","00:45L",
"Sleep","2024-07-28 00:05","2024-07-28 02:01","01:56",,,,
"Feed","2024-07-27 23:19","2024-07-27 23:54","00:34","00:20R","Breast","00:14L",
"Feed","2024-07-27 22:31","2024-07-27 23:01","00:29","Null r","Breast","00:29L",
"Diaper","2024-07-27 22:20",,,,,"Both, pee:small poo:small",
"Sleep","2024-07-27 21:04","2024-07-27 22:09","01:05",,,,
"Feed","2024-07-27 20:48","2024-07-27 21:04","00:16","00:16R","Breast","Null l",
"Diaper","2024-07-27 20:40",,,,,"Both, poo:small",
"Feed","2024-07-27 19:38","2024-07-27 20:28","00:50","00:29R","Breast","00:21L",
"Diaper","2024-07-27 19:36",,,,,"Both",
"Sleep","2024-07-27 18:11","2024-07-27 19:21","01:10",,,,
"Diaper","2024-07-27 17:40",,,,,"Both",
"Feed","2024-07-27 17:40","2024-07-27 18:06","00:26","Null r","Breast","00:26L",
"Sleep","2024-07-27 17:09","2024-07-27 17:17","00:08",,,,
"Feed","2024-07-27 16:57","2024-07-27 17:04","00:07","00:07R","Breast","Null l",
"Feed","2024-07-27 16:30","2024-07-27 16:50","00:20","00:20R","Breast","Null l",
"Sleep","2024-07-27 16:12","2024-07-27 16:30","00:18",,,,
"Sleep","2024-07-27 13:40","2024-07-27 15:57","02:17",,,,
"Feed","2024-07-27 12:26","2024-07-27 13:01","00:34","Null r","Breast","00:34L",
"Sleep","2024-07-27 11:26","2024-07-27 12:17","00:50",,,,
"Feed","2024-07-27 11:01","2024-07-27 11:23","00:22","00:22R","Breast","Null l",
"Diaper","2024-07-27 10:45",,,,,"Both",
"Sleep","2024-07-27 09:28","2024-07-27 10:40","01:11",,,,
"Diaper","2024-07-27 08:33",,,,,"Both",
"Feed","2024-07-27 08:28","2024-07-27 09:27","00:59","Null r","Breast","00:59L",
"Feed","2024-07-27 07:54","2024-07-27 08:07","00:12","00:12R","Breast","Null l",
"Sleep","2024-07-27 03:35","2024-07-27 07:42","04:07",,,,
"Feed","2024-07-27 02:53","2024-07-27 03:23","00:30","Null r","Breast","00:30L",
"Sleep","2024-07-27 02:33","2024-07-27 02:53","00:20",,,,
"Feed","2024-07-27 02:27","2024-07-27 02:32","00:05","00:05R","Breast","Null l",
"Sleep","2024-07-27 01:43","2024-07-27 02:06","00:23",,,,
"Feed","2024-07-27 01:17","2024-07-27 01:27","00:10","00:10R","Breast","Null l",
"Feed","2024-07-27 00:49","2024-07-27 01:07","00:18","Null r","Breast","00:18L",
"Diaper","2024-07-27 00:46",,,,,"Both",
"Feed","2024-07-27 00:22","2024-07-27 00:31","00:09","00:00R","Breast","00:08L",
"Sleep","2024-07-27 00:00","2024-07-27 00:11","00:11",,,,
"Feed","2024-07-26 23:06","2024-07-26 23:58","00:52","00:20R","Breast","00:32L",
"Diaper","2024-07-26 23:01",,,,,"Poo",
"Feed","2024-07-26 22:01","2024-07-26 22:27","00:26","00:26R","Breast","Null l",
"Diaper","2024-07-26 21:46",,,,,"Pee",
"Feed","2024-07-26 21:16","2024-07-26 21:43","00:27","00:15R","Breast","00:12L",
"Sleep","2024-07-26 20:10","2024-07-26 21:15","01:05",,,,
"Feed","2024-07-26 19:40","2024-07-26 20:08","00:28","Null r","Breast","00:28L",
"Diaper","2024-07-26 19:32",,,,,"Both, pee:small poo:small",
"Feed","2024-07-26 18:49","2024-07-26 19:22","00:32","00:32R","Breast","Null l",
"Sleep","2024-07-26 18:36","2024-07-26 18:46","00:10",,,,
"Feed","2024-07-26 18:10","2024-07-26 18:34","00:24","Null r","Breast","00:24L",
"Diaper","2024-07-26 18:00",,,,,"Pee",
"Sleep","2024-07-26 16:42","2024-07-26 17:55","01:13",,,,
"Feed","2024-07-26 16:20","2024-07-26 16:42","00:21","00:21R","Breast","Null l",
"Sleep","2024-07-26 15:36","2024-07-26 16:15","00:38",,,,
"Feed","2024-07-26 15:33","2024-07-26 15:36","00:03","Null r","Breast","00:03L",
"Sleep","2024-07-26 15:28","2024-07-26 15:32","00:04",,,,
"Feed","2024-07-26 15:25","2024-07-26 15:28","00:02","Null r","Breast","00:02L",
"Feed","2024-07-26 14:02","2024-07-26 14:41","00:39","00:27R","Breast","00:11L",
"Diaper","2024-07-26 13:46",,,,,"Pee",
"Sleep","2024-07-26 12:47","2024-07-26 13:40","00:53",,,,
"Feed","2024-07-26 12:33","2024-07-26 12:47","00:13","00:13R","Breast","Null l",
"Sleep","2024-07-26 12:27","2024-07-26 12:30","00:02",,,,
"Feed","2024-07-26 11:59","2024-07-26 12:23","00:24","Null r","Breast","00:24L",
"Sleep","2024-07-26 11:10","2024-07-26 11:56","00:45",,,,
"Sleep","2024-07-26 10:50","2024-07-26 11:10","00:19",,,,
"Feed","2024-07-26 10:31","2024-07-26 10:50","00:19","00:19R","Breast","00:00L",
"Diaper","2024-07-26 10:16",,"brown",,,"Both, pee:medium",